Symbol,Name,Sector,Industry
CASY,Casey's General Stores Inc. Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CAT,Caterpillar Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks
CATY,Cathay General Bancorp Common Stock,Finance,Major Banks
CAVA,CAVA Group Inc. Common Stock,Consumer Discretionary,Restaurants
CB,Chubb Limited  Common Stock,Finance,Property-Casualty Insurers
CBAY,CymaBay Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CBOE,Cboe Global Markets Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
CBRE,CBRE Group Inc Common Stock Class A,Finance,Real Estate
CBSH,Commerce Bancshares Inc. Common Stock,Finance,Major Banks
CBT,Cabot Corporation Common Stock,Industrials,Major Chemicals
CBU,Community Bank System Inc. Common Stock,Finance,Major Banks
CBZ,CBIZ Inc. Common Stock,Consumer Discretionary,Business Services
CC,Chemours Company (The) Common Stock,Industrials,Major Chemicals
CCCS,CCC Intelligent Solutions Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,Consumer Staples,Beverages (Production/Distribution)
CCI,Crown Castle Inc. Common Stock,Real Estate,Real Estate Investment Trusts
CCJ,Cameco Corporation Common Stock,Basic Materials,Other Metals and Minerals
CCK,Crown Holdings Inc.,Industrials,Containers/Packaging
CCL,Carnival Corporation Common Stock,Consumer Discretionary,Marine Transportation
CCOI,Cogent Communications Holdings Inc.,Consumer Discretionary,Telecommunications Equipment
CCS,Century Communities Inc. Common Stock,Consumer Discretionary,Homebuilding
CCU,Compania Cervecerias Unidas S.A. Common Stock,Consumer Staples,Beverages (Production/Distribution)
CCZ,Comcast Holdings ZONES,Telecommunications,Cable & Other Pay Television Services
CDNS,Cadence Design Systems Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CDP,COPT Defense Properties Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
CDW,CDW Corporation Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
CE,Celanese Corporation Common Stock,Industrials,Major Chemicals
CEG,Constellation Energy Corporation Common Stock ,Utilities,Electric Utilities: Central
CEIX,CONSOL Energy Inc. Common Stock ,Energy,Coal Mining
CELH,Celsius Holdings Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
CENT,Central Garden & Pet Company Common Stock,Consumer Discretionary,Consumer Specialties
CENTA,Central Garden & Pet Company Class A Common Stock Nonvoting,Consumer Discretionary,Consumer Specialties
CERE,Cerevel Therapeutics Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CERT,Certara Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
CET,Central Securities Corporation Common Stock,Finance,Finance/Investors Services
CF,CF Industries Holdings Inc. Common Stock,Industrials,Agricultural Chemicals
CFG,Citizens Financial Group Inc. Common Stock,Finance,Major Banks
CFLT,Confluent Inc. Class A Common Stock,Technology,EDP Services
CFR,Cullen/Frost Bankers Inc. Common Stock,Finance,Major Banks
CG,The Carlyle Group Inc. Common Stock,Finance,Investment Managers
CGABL,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,Finance,Investment Managers
CGNX,Cognex Corporation Common Stock,Industrials,Industrial Machinery/Components
CHD,Church & Dwight Company Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
CHDN,Churchill Downs Incorporated Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
CHE,Chemed Corp,Health Care,Medical/Nursing Services
CHH,Choice Hotels International Inc. Common Stock,Consumer Discretionary,Hotels/Resorts
CHK,Chesapeake Energy Corporation Common Stock,Energy,Oil & Gas Production
CHKEL,Chesapeake Energy Corporation Class C Warrants,Energy,Oil & Gas Production
CHKEW,Chesapeake Energy Corporation Class A Warrants,Energy,Oil & Gas Production
CHKEZ,Chesapeake Energy Corporation Class B Warrants,Energy,Oil & Gas Production
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,Technology,Computer Software: Prepackaged Software
CHRD,Chord Energy Corporation Common Stock,Energy,Oil & Gas Production
CHRW,C.H. Robinson Worldwide Inc. Common Stock,Consumer Discretionary,Oil Refining/Marketing
CHT,Chunghwa Telecom Co. Ltd.,Telecommunications,Telecommunications Equipment
CHTR,Charter Communications Inc. Class A Common Stock New,Telecommunications,Cable & Other Pay Television Services
CHWY,Chewy Inc. Class A Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
CHX,ChampionX Corporation Common Stock ,Industrials,Industrial Machinery/Components
CI,The Cigna Group Common Stock,Health Care,Medical Specialities
CIB,BanColombia S.A. Common Stock,Finance,Commercial Banks
CIEN,Ciena Corporation Common Stock,Utilities,Telecommunications Equipment
CIG,Comp En De Mn Cemig ADS American Depositary Shares,Utilities,Electric Utilities: Central
CIGI,Colliers International Group Inc. Subordinate Voting Shares,Finance,Real Estate
CII,Blackrock Capital and Income Fund Inc.,Finance,Investment Bankers/Brokers/Service
CINF,Cincinnati Financial Corporation Common Stock,Finance,Property-Casualty Insurers
CIVI,Civitas Resources Inc. Common Stock,Energy,Oil & Gas Production
CL,Colgate-Palmolive Company Common Stock,Consumer Discretionary,Package Goods/Cosmetics
CLBT,Cellebrite DI Ltd. Ordinary Shares,Technology,Computer Software: Prepackaged Software
CLDX,Celldex Therapeutics Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
CLF,Cleveland-Cliffs Inc. Common Stock,Basic Materials,Metal Mining
CLH,Clean Harbors Inc. Common Stock,Industrials,Environmental Services
CLS,Celestica Inc. Common Stock,,
CLSK,CleanSpark Inc. Common Stock,Finance,Finance: Consumer Services
CLVT,Clarivate Plc Ordinary Shares,Technology,EDP Services
CLX,Clorox Company (The) Common Stock,Consumer Discretionary,Specialty Chemicals
CM,Canadian Imperial Bank of Commerce Common Stock,,
CMA,Comerica Incorporated Common Stock,Finance,Major Banks
CMC,Commercial Metals Company Common Stock,Industrials,Steel/Iron Ore
CMCSA,Comcast Corporation Class A Common Stock,Telecommunications,Cable & Other Pay Television Services
CME,CME Group Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service
CMG,Chipotle Mexican Grill Inc. Common Stock,Consumer Discretionary,Restaurants
CMI,Cummins Inc. Common Stock,Industrials,Industrial Machinery/Components
CMPR,Cimpress plc Ordinary Shares (Ireland),Consumer Discretionary,Publishing
CMS,CMS Energy Corporation Common Stock,Utilities,Power Generation
CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,Utilities,Power Generation
CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078,Utilities,Power Generation
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,Utilities,Power Generation
CNA,CNA Financial Corporation Common Stock,Finance,Property-Casualty Insurers
CNC,Centene Corporation Common Stock,Health Care,Medical Specialities
CNHI,CNH Industrial N.V. Common Shares,Industrials,Construction/Ag Equipment/Trucks
CNI,Canadian National Railway Company Common Stock,Industrials,Railroads
CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock,Consumer Discretionary,Movies/Entertainment
CNM,Core & Main Inc. Class A Common Stock,Consumer Discretionary,Durable Goods
CNMD,CONMED Corporation Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CNO,CNO Financial Group Inc. Common Stock,Finance,Accident &Health Insurance
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,Utilities,Electric Utilities: Central
CNQ,Canadian Natural Resources Limited Common Stock,Energy,Oil & Gas Production
CNS,Cohen & Steers Inc Common Stock,Finance,Investment Managers
CNX,CNX Resources Corporation Common Stock,Energy,Oil & Gas Production
CNXC,Concentrix Corporation Common Stock,Technology,Computer Software: Prepackaged Software
COF,Capital One Financial Corporation Common Stock,Finance,Major Banks
COHR,Coherent Corp. Common Stock,Technology,Electronic Components
COIN,Coinbase Global Inc. Class A Common Stock,Finance,Finance: Consumer Services
COKE,Coca-Cola Consolidated Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
COLB,Columbia Banking System Inc. Common Stock,Finance,Major Banks
COLD,Americold Realty Trust Inc. Common Stock,Finance,Real Estate
COLM,Columbia Sportswear Company Common Stock,Consumer Discretionary,Apparel
COO,The Cooper Companies Inc. Common Stock,Health Care,Ophthalmic Goods
COOP,Mr. Cooper Group Inc. Common Stock,Finance,Finance: Consumer Services
COP,ConocoPhillips Common Stock,Energy,Integrated oil Companies
COR,Cencora Inc. Common Stock,Health Care,Other Pharmaceuticals
CORT,Corcept Therapeutics Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
COST,Costco Wholesale Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
COTY,Coty Inc. Class A Common Stock,Consumer Discretionary,Package Goods/Cosmetics
COUR,Coursera Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CP,Canadian Pacific Kansas City Limited Common Shares,,
CPA,Copa Holdings S.A. Class A Common Stock,Consumer Discretionary,Air Freight/Delivery Services
CPB,Campbell Soup Company Common Stock,Consumer Staples,Packaged Foods
CPE,Callon Petroleum Company Common Stock,Energy,Oil & Gas Production
CPG,Crescent Point Energy Corporation Ordinary Shares (Canada),,
CPK,Chesapeake Utilities Corporation Common Stock,Utilities,Oil & Gas Production
CPNG,Coupang Inc. Class A Common Stock,Consumer Discretionary,Durable Goods
CPRI,Capri Holdings Limited Ordinary Shares,Consumer Discretionary,Apparel
CPRT,Copart Inc. (DE) Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CPT,Camden Property Trust Common Stock,Real Estate,Real Estate Investment Trusts
CQP,Cheniere Energy Partners LP Common Units,Utilities,Oil/Gas Transmission
CR,Crane Company Common Stock,Industrials,Metal Fabrications
CRBG,Corebridge Financial Inc. Common Stock,Finance,Life Insurance
CRC,California Resources Corporation Common Stock,Energy,Oil & Gas Production
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,Technology,Semiconductors
CRH,CRH PLC Ordinary Shares,Industrials,Building Materials
CRI,Carter's Inc. Common Stock,Consumer Discretionary,Apparel
CRK,Comstock Resources Inc. Common Stock,Energy,Oil & Gas Production
CRL,Charles River Laboratories International Inc. Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CRM,Salesforce Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CRNX,Crinetics Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CROX,Crocs Inc. Common Stock,Consumer Discretionary,Shoe Manufacturing
CRS,Carpenter Technology Corporation Common Stock,Industrials,Steel/Iron Ore
CRSP,CRISPR Therapeutics AG Common Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRUS,Cirrus Logic Inc. Common Stock,Technology,Semiconductors
CRVL,CorVel Corp. Common Stock,Finance,Specialty Insurers
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
CSAN,Cosan S.A. ADS,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CSCO,Cisco Systems Inc. Common Stock (DE),Telecommunications,Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,Consumer Discretionary,Business Services
CSL,Carlisle Companies Incorporated Common Stock,Industrials,Specialty Chemicals
CSQ,Calamos Strategic Total Return Common Stock,Finance,Finance Companies
CSTM,Constellium SE Ordinary Shares (France),Industrials,Metal Fabrications
CSWI,CSW Industrials Inc. Common Stock,Industrials,Home Furnishings
CSX,CSX Corporation Common Stock,Industrials,Railroads
CTAS,Cintas Corporation Common Stock,Consumer Discretionary,Apparel
CTLT,Catalent Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CTRA,Coterra Energy Inc. Common Stock,Energy,Oil & Gas Production
CTRE,CareTrust REIT Inc. Common Stock,Real Estate,Real Estate Investment Trusts
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,Technology,EDP Services
CTVA,Corteva Inc. Common Stock ,Consumer Staples,Farming/Seeds/Milling
CUBE,CubeSmart Common Shares,Real Estate,Real Estate Investment Trusts
CUK,Carnival Plc ADS ADS,Consumer Discretionary,Marine Transportation
CUZ,Cousins Properties Incorporated Common Stock,Real Estate,Real Estate Investment Trusts
CVBF,CVB Financial Corporation Common Stock,Finance,Major Banks
CVCO,Cavco Industries Inc. Common Stock When Issued,Consumer Discretionary,Homebuilding
CVE,Cenovus Energy Inc Common Stock,Energy,Oil & Gas Production
CVI,CVR Energy Inc. Common Stock,Energy,Integrated oil Companies
CVLT,Commvault Systems Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CVNA,Carvana Co. Class A Common Stock,Consumer Discretionary,Other Specialty Stores
CVS,CVS Health Corporation Common Stock,Consumer Staples,Retail-Drug Stores and Proprietary Stores
CVX,Chevron Corporation Common Stock,Energy,Integrated oil Companies
CW,Curtiss-Wright Corporation Common Stock,Industrials,Industrial Machinery/Components
CWAN,Clearwater Analytics Holdings Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
CWEN,Clearway Energy Inc. Class C Common Stock,Utilities,Electric Utilities: Central
CWH,Camping World Holdings Inc. Class A Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CWK,Cushman & Wakefield plc Ordinary Shares,Finance,Real Estate
CWST,Casella Waste Systems Inc. Class A Common Stock,Utilities,Environmental Services
CWT,California Water Service Group Common Stock,Utilities,Water Supply
CX,Cemex S.A.B. de C.V. Sponsored ADR,Industrials,Building Materials
CXM,Sprinklr Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
CXT,Crane NXT Co. Common Stock,Industrials,Office Equipment/Supplies/Services
CYBR,CyberArk Software Ltd. Ordinary Shares,Technology,Computer Software: Prepackaged Software
CYTK,Cytokinetics Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CZR,Caesars Entertainment Inc. Common Stock,Consumer Discretionary,Hotels/Resorts
D,Dominion Energy Inc. Common Stock,,
DAL,Delta Air Lines Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
DAR,Darling Ingredients Inc. Common Stock,Consumer Staples,Packaged Foods
DASH,DoorDash Inc. Class A Common Stock,Industrials,Industrial Machinery/Components
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),Technology,EDP Services
DAY,Dayforce Inc. Common Stock,Technology,Computer Software: Prepackaged Software
DB,Deutsche Bank AG Common Stock,Finance,Major Banks
DBRG,DigitalBridge Group Inc.,Real Estate,Real Estate Investment Trusts
DBX,Dropbox Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
DCI,Donaldson Company Inc. Common Stock,Industrials,Pollution Control Equipment
DD,DuPont de Nemours Inc. Common Stock,Industrials,Major Chemicals
DDOG,Datadog Inc. Class A Common Stock,Technology,EDP Services
DDS,Dillard's Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
DE,Deere & Company Common Stock,Industrials,Industrial Machinery/Components
DECK,Deckers Outdoor Corporation Common Stock,Consumer Discretionary,Shoe Manufacturing
DEI,Douglas Emmett Inc. Common Stock,Real Estate,Real Estate Investment Trusts
DELL,Dell Technologies Inc. Class C Common Stock ,Technology,Computer Manufacturing
DEO,Diageo plc Common Stock,Consumer Staples,Beverages (Production/Distribution)
DFH,Dream Finders Homes Inc. Class A Common Stock,Consumer Discretionary,Homebuilding
DFS,Discover Financial Services Common Stock,Finance,Finance: Consumer Services
DG,Dollar General Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
DGX,Quest Diagnostics Incorporated Common Stock,Health Care,Medical Specialities
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,Real Estate,Real Estate Investment Trusts
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,Real Estate,Real Estate Investment Trusts
DHI,D.R. Horton Inc. Common Stock,Consumer Discretionary,Homebuilding
DHR,Danaher Corporation Common Stock,Industrials,Industrial Machinery/Components
DINO,HF Sinclair Corporation Common Stock,Energy,Natural Gas Distribution
DIOD,Diodes Incorporated Common Stock,Technology,Semiconductors
DIS,Walt Disney Company (The) Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
DKNG,DraftKings Inc. Class A Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
DKS,Dick's Sporting Goods Inc Common Stock,Consumer Discretionary,Other Specialty Stores
DLB,Dolby Laboratories Common Stock,Technology,EDP Services
DLO,DLocal Limited Class A Common Shares,Consumer Discretionary,Business Services
DLR,Digital Realty Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
DLTR,Dollar Tree Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNB,Dun & Bradstreet Holdings Inc. Common Stock,Finance,Finance: Consumer Services
DNLI,Denali Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNUT,Krispy Kreme Inc. Common Stock,Consumer Staples,Food Chains
DOC,Healthpeak Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
DOCN,DigitalOcean Holdings Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
DOCS,Doximity Inc. Class A Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
DOCU,DocuSign Inc. Common Stock,Technology,Computer Software: Prepackaged Software
DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,Consumer Discretionary,Industrial Specialties
DOOR,Masonite International Corporation Ordinary Shares (Canada),Basic Materials,Forest Products
DORM,Dorman Products Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
DOV,Dover Corporation Common Stock,Industrials,Industrial Machinery/Components
DOW,Dow Inc. Common Stock ,Industrials,Major Chemicals
DOX,Amdocs Limited Ordinary Shares,Technology,EDP Services
DPZ,Domino's Pizza Inc Common Stock,Consumer Discretionary,Food Distributors
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,Technology,Semiconductors
DRI,Darden Restaurants Inc. Common Stock,Consumer Discretionary,Restaurants
DRS,Leonardo DRS Inc. Common Stock,Industrials,Military/Government/Technical
DRVN,Driven Brands Holdings Inc. Common Stock,Consumer Discretionary,Automotive Aftermarket
DSGX,Descartes Systems Group Inc. (The) Common Stock,,
DT,Dynatrace Inc. Common Stock,Technology,EDP Services
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,Utilities,Electric Utilities: Central
DTE,DTE Energy Company Common Stock,Utilities,Electric Utilities: Central
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,Utilities,Electric Utilities: Central
DTM,DT Midstream Inc. Common Stock ,Utilities,Oil & Gas Production
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,Utilities,Electric Utilities: Central
DUK,Duke Energy Corporation (Holding Company) Common Stock,Utilities,Power Generation
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,Industrials,Railroads
DUOL,Duolingo Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
DV,DoubleVerify Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
DVA,DaVita Inc. Common Stock,Health Care,Misc Health and Biotechnology Services
DVN,Devon Energy Corporation Common Stock,Energy,Oil & Gas Production
DXC,DXC Technology Company Common Stock ,Technology,EDP Services
DXCM,DexCom Inc. Common Stock,Health Care,Medical/Dental Instruments
DY,Dycom Industries Inc. Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction
DYN,Dyne Therapeutics Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
E,ENI S.p.A. Common Stock,Energy,Oil & Gas Production
EA,Electronic Arts Inc. Common Stock,Technology,Computer Software: Prepackaged Software
EAI,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066,Utilities,Electric Utilities: Central
EAT,Brinker International Inc. Common Stock,Consumer Discretionary,Restaurants
EBAY,eBay Inc. Common Stock,Consumer Discretionary,Business Services
EBC,Eastern Bankshares Inc. Common Stock,Finance,Accident &Health Insurance
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),Utilities,Electric Utilities: Central
EC,Ecopetrol S.A. American Depositary Shares,Energy,Oil & Gas Production
ECCF,Eagle Point Credit Company Inc. 8.00% Series F Term Preferred Stock due 2029,,
ECL,Ecolab Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
ED,Consolidated Edison Inc. Common Stock,Utilities,Power Generation
EDR,Endeavor Group Holdings Inc. Class A Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands),Real Estate,Other Consumer Services
EEFT,Euronet Worldwide Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
EFX,Equifax Inc. Common Stock,Finance,Finance: Consumer Services
EG,Everest Group Ltd. Common Stock,Finance,Property-Casualty Insurers
EGO,Eldorado Gold Corporation Ordinary Shares,Basic Materials,Precious Metals
EGP,EastGroup Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
EHC,Encompass Health Corporation Common Stock,Health Care,Hospital/Nursing Management
EIX,Edison International Common Stock,Utilities,Electric Utilities: Central
EL,Estee Lauder Companies Inc. (The) Common Stock,Consumer Discretionary,Package Goods/Cosmetics
ELAN,Elanco Animal Health Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ELC,Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875 % Series due September 1 2066,Utilities,Electric Utilities: Central
ELF,e.l.f. Beauty Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),Utilities,Electric Utilities: Central
ELS,Equity Lifestyle Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
ELV,Elevance Health Inc. Common Stock,Health Care,Medical Specialities
EME,EMCOR Group Inc. Common Stock,Industrials,Engineering & Construction
EMN,Eastman Chemical Company Common Stock,Industrials,Major Chemicals
EMP,Entergy Mississippi LLC First Mortgage Bonds 4.90% Series Due October 1 2066,,
EMR,Emerson Electric Company Common Stock,Technology,Consumer Electronics/Appliances
ENB,Enbridge Inc Common Stock,Energy,Natural Gas Distribution
ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),Utilities,Electric Utilities: Central
ENJ,Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052,Utilities,Power Generation
ENLC,EnLink Midstream LLC Common Units representing Limited Partner Interests,Utilities,Natural Gas Distribution
ENLT,Enlight Renewable Energy Ltd. Ordinary Shares,,
ENO,Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066,Utilities,Power Generation
ENOV,Enovis Corporation Common Stock,Industrials,Fluid Controls
ENPH,Enphase Energy Inc. Common Stock,Technology,Semiconductors
ENR,Energizer Holdings Inc. Common Stock,Miscellaneous,Industrial Machinery/Components
ENS,EnerSys Common Stock,Technology,Industrial Machinery/Components
ENSG,The Ensign Group Inc. Common Stock,Health Care,Hospital/Nursing Management
ENTG,Entegris Inc. Common Stock,Technology,Semiconductors
ENV,Envestnet Inc Common Stock,Technology,EDP Services
EOG,EOG Resources Inc. Common Stock,Energy,Oil & Gas Production
EPAM,EPAM Systems Inc. Common Stock,Technology,EDP Services
EPD,Enterprise Products Partners L.P. Common Stock,Utilities,Natural Gas Distribution
EPR,EPR Properties Common Stock,Real Estate,Real Estate Investment Trusts
EPRT,Essential Properties Realty Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
EQC,Equity Commonwealth Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
EQH,Equitable Holdings Inc. Common Stock,Finance,Specialty Insurers
EQIX,Equinix Inc. Common Stock REIT,Real Estate,Real Estate Investment Trusts
EQNR,Equinor ASA,Energy,Integrated oil Companies
EQR,Equity Residential Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
EQT,EQT Corporation Common Stock,Energy,Oil & Gas Production
ERF,Enerplus Corporation Common Stock,Energy,Oil & Gas Production
ERIC,Ericsson American Depositary Shares,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Erie Indemnity Company Class A Common Stock,Finance,Specialty Insurers
ERJ,Embraer S.A. Common Stock,Industrials,Aerospace
ES,Eversource Energy (D/B/A) Common Stock,Utilities,Electric Utilities: Central
ESAB,ESAB Corporation Common Stock,Industrials,Office Equipment/Supplies/Services
ESE,ESCO Technologies Inc. Common Stock,Telecommunications,Telecommunications Equipment
ESGR,Enstar Group Limited Ordinary Shares,Finance,Property-Casualty Insurers
ESI,Element Solutions Inc. Common Stock,Industrials,Major Chemicals
ESLT,Elbit Systems Ltd. Ordinary Shares,Industrials,Military/Government/Technical
ESNT,Essent Group Ltd. Common Shares,Finance,Property-Casualty Insurers
ESS,Essex Property Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
ESTC,Elastic N.V. Ordinary Shares,Technology,Computer Software: Prepackaged Software
ET,Energy Transfer LP Common Units ,Utilities,Natural Gas Distribution
ETN,Eaton Corporation PLC Ordinary Shares,Industrials,Industrial Machinery/Components
ETR,Entergy Corporation Common Stock,Utilities,Electric Utilities: Central
ETRN,Equitrans Midstream Corporation Common Stock ,Utilities,Natural Gas Distribution
ETSY,Etsy Inc. Common Stock,Consumer Discretionary,Business Services
EURN,Euronav NV Ordinary Shares,Consumer Discretionary,Marine Transportation
EVH,Evolent Health Inc Class A Common Stock,Consumer Discretionary,Other Consumer Services
EVO,Evotec SE American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
EVR,Evercore Inc. Class A Common Stock,Finance,Investment Managers
EVRG,Evergy Inc. Common Stock,Utilities,Power Generation
EVTC,Evertec Inc. Common Stock,Technology,EDP Services
EW,Edwards Lifesciences Corporation Common Stock,Health Care,Industrial Specialties
EWBC,East West Bancorp Inc. Common Stock,Finance,Major Banks
EXAS,Exact Sciences Corporation Common Stock,Health Care,Medical Specialities
EXC,Exelon Corporation Common Stock,Utilities,Power Generation
EXEL,Exelixis Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EXLS,ExlService Holdings Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
EXP,Eagle Materials Inc Common Stock,Industrials,Building Materials
EXPD,Expeditors International of Washington Inc. Common Stock,Consumer Discretionary,Oil Refining/Marketing
EXPE,Expedia Group Inc. Common Stock,Consumer Discretionary,Transportation Services
EXPO,Exponent Inc. Common Stock,Consumer Discretionary,Professional Services
EXR,Extra Space Storage Inc Common Stock,Real Estate,Real Estate Investment Trusts
F,Ford Motor Company Common Stock,Consumer Discretionary,Auto Manufacturing
FA,First Advantage Corporation Common Stock,Consumer Discretionary,Business Services
FAF,First American Corporation (New) Common Stock,Finance,Specialty Insurers
FANG,Diamondback Energy Inc. Common Stock,Energy,Oil & Gas Production
FAST,Fastenal Company Common Stock,Consumer Discretionary,RETAIL: Building Materials
FBIN,Fortune Brands Innovations Inc. Common Stock,Basic Materials,Forest Products
FBP,First BanCorp. New Common Stock,Finance,Major Banks
FCFS,FirstCash Holdings Inc. Common Stock,Miscellaneous,Diversified Commercial Services
FCN,FTI Consulting Inc. Common Stock,Consumer Discretionary,Professional Services
FCNCA,First Citizens BancShares Inc. Class A Common Stock,Finance,Major Banks
FCPT,Four Corners Property Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
FCX,Freeport-McMoRan Inc. Common Stock,Basic Materials,Metal Mining
FDS,FactSet Research Systems Inc. Common Stock,Technology,Computer Software: Programming Data Processing
FDX,FedEx Corporation Common Stock,Consumer Discretionary,Air Freight/Delivery Services
